id,primaryTitle,releaseDate,runtimeMinutes,overview,rating,productionBudget,marketingBudget,boxOffice
3930,Sick for Toys,21/09/2018,90,"Alex is going through a midlife crisis and it has become a very difficult time for him. His marriage is struggling, he's worried about his son, and his job of killing people for his family has become the most stressful part of his life. He seeks the help of a therapist and meets a woman in the waiting room that he connects with.",7.5,94805,115479,254053
3931,Cabaret Maxime,16/11/2018,94,A police chief about to retire pledges to help a woman find her daughter's killer. Based on a story by Swiss writer Friedrich Dürrenmatt.,7.7,1509496,1828503,2194203
3932,Minky Momo: New Friend Kagira,06/07/2015,82,"What would you wish for if you were eleven and could have anything in the world? Your parents don't understand you. Your teenage brother is constantly getting you in trouble...for things he did! You're in love with the twelve-year-old girl across the street... who, unfortunately, is dating the local bully. Then, one afternoon, while being chased by the bully, you fall into a sinkhole, which happens to be in an ancient Indian burial ground. You find a glass, which you discover turns out to be a witchdoctor's Wishing Glass. When Ryan Mitchell discovers the Wishing Glass, he wishes that all the teenagers and parents would disappear. Soon it's ""Kids World,"" with no adults and teenagers - nobody over the age of 12 anywhere! You can only imagine what happens next...  *IT'S A CANADIAN FILM*",6,79519,73057,87668
3933,Boruto: Naruto the Movie,10/12/2015,95,"The Personals is a movie for anyone who hasn't yet found what they're looking for or who remembers how tough it can be to find it. Rene Liu plays an eye doctor who's become disaffected with her present life and is craving something more – namely love and marriage. She's attractive, has a good job, and a decent apartment. Up until now she has done everything she's supposed to do, but it just hasn't worked for her. She's still alone. Now, she decides to take the extreme measure of advertising for a husband in the personals. The search leads her down the slippery slope of the modern dating scene whose universal quirkiness transcends the boundaries of all industrialized societies.",6.8,1485101,2939602,14820410
3934,The Road,06/02/2015,96,Four sisters who disagree about everything... except what matters most. Family.,7,1511977,2977452,2084216
3935,Going to Heaven,20/01/2015,90,"Dallas housewife Lurene Hallett's life revolves around the doings of Jacqueline Kennedy. She is devastated when President Kennedy is shot a few hours after she sees him arrive in Dallas. Despite her husband Ray's prohibition, she decides to attend the funeral in Washington, D.C. Forced to travel by bus, she befriends Jonell, the young black daughter of Paul Couter. Sensing something wrong, her good intentioned interference leads the mixed race threesome on an increasingly difficult journey to Washington with both the police and Ray looking for them.",7.1,1498970,3001038,8996918
3936,Woman in Grey,25/01/2015,88,"Maureen Trant and her younger sibling Dani share a strong connection, but local boy Court Foster threatens to throw their bond off balance. Dani and Court meet first and have a flirtatious rapport -- but when he meets Maureen, he falls hard and they begin a passionate affair. The new couple try to keep their love hidden from Dani, but she soon learns the truth, disavowing her sister. But a heartbreaking accident later reunites the girls.",8.9,1497054,2961286,8949502
3937,The D,27/04/2010,93,Three teenage girls come of age while working at a pizza parlor in Mystic Connecticut.,9.5,85622,96111,211444
3938,El Piedra,02/08/2018,90,"A couple fall in love despite the girl's pessimistic outlook. As they struggle to come to terms with their relationship, something supernatural happens that tests it.",6.5,1490692,3028579,3634294
3939,Riot,08/05/2015,87,"After her younger sister gets involved in drugs and is severely injured by contaminated heroin, a nurse sets out on a mission of vengeance and vigilante justice, killing drug dealers, pimps, and mobsters who cross her path.",8.1,1499250,2974511,2082157
3940,Basta poco,12/11/2015,90,A voluptuous black woman takes a job as a high-class prostitute in order to get revenge on the mobsters who murdered her boyfriend.,7.2,1499296,1792036,13786404
3941,Easy,04/08/2017,91,"Jack Spade returns from the army in his old ghetto neighbourhood when his brother, June Bug, dies. Jack declares war on Mr. Big, powerful local crimelord. His army is led by John Slade, his childhood idol who used to fight bad guys in the 70s.",4.9,59828,105174,344486
3942,The Limit Of,23/10/2018,89,"Caroline, a young waitress who seems to have bad taste in men, is on her way home one night when thugs attempt to rape her. Adam, the mysterious busboy who works at the same diner, helps fight off the assailants, and she begins a relationship with him -- but not all their fellow Minnesotans are happy for them. Meanwhile, the couple face their own difficulties when Caroline finds about Adam's past, including his unique health condition.",4.5,1509695,1829329,4024523
3943,Zeeuws meisje,18/07/2015,85,"When Jack (James Marsden) and Diane (Marley Shelton) find themselves in an unexpected adult situation, the A-Squad comes to their rescue. In order to help their friend Diane, the A-Squad goes where no cheerleader has gone before: taking on a little after-school project known as bank robbery. But the A-Squad does things their way -- with sugar and spice -- forever changing their friendship, their future and the nation's notion of teen spirit.",5.7,68203,116395,139674
3944,The Fisher: Tacklebox,02/07/2007,96,"Mary Fiore, San Francisco's premiere wedding planner is rescued from an accident by the man of her dreams, pediatrician Steve Edison, only to find he is the fiancé of her latest client, wealthy Fran Donnolly. As Mary continues making the wedding arrangements, she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction.",5.3,33883,54102,64922
3945,Echoes,02/05/2015,86,"Amy's father, Franco, was a popular rock musician accidentally electrocuted while performing on stage. The psychological trauma leaves Amy mute and deaf. So the 8-year-old is brought by her mother, Tanya, to Melbourne to diagnose the reasons for her continued silence.",5,1504284,2999690,9016826
3946,The Christmas Reunion,23/09/2016,96,"Eddie (Marc) and Miles (DuPlessis) are teen runaways who meet and become friends in New Orleans. They hook up with a local drug dealer who sends them to New York City for a drug deal with the promise of easy money and a place to live. When the deal falls through, they find themselves penniless on the Lower East Side. They discover a vast underworld of abandoned buildings where kids live and are drawn into a world of sex, drugs, and survival.",6.6,107732,119368,981224
3947,The Pills: Sempre meglio che lavorare,24/12/2016,83,"Scripted by Ingmar Bergman, this very personal film is about a destructive affair which wrecks the marriage of an actress (Marianne) and musician (Markus). Wanting to continue the affair, Marianne moves in with her lover. But she is tormented by Markus' decision not to let her have custody of their daughter. Finally Markus announces he may have a solution to the stalemate, but this leads to deception, lies and ultimately, tragedy.",4.4,1514898,3057534,6726574
3948,From Scratch 2,24/04/2006,98,"After learning that her sister, Faith (Cameron Diaz), has committed suicide in Portugal, Phoebe (Jordana Brewster), an 18-year-old hippie, decides to uproot from her San Francisco home to travel to Europe. Phoebe hopes to discover and experience the life that led to her sister's death by retracing her footsteps, which eventually leads to Wolf (Christopher Eccleston) -- Faith's boyfriend. However, as Phoebe's journey continues, a series of visions of Faith pushes her mind to the brink.",6.1,93410,140434,168520
3949,Quantum Immortality,23/07/2015,90,"Rita Vogt is a radical West German terrorist who abandons the revolution and settles in East Germany with a new identity provided by the East German secret service. She lives in constant fear of having her cover blown, which unavoidably happens after the German re-unification.",7.6,76240,82544,181596
3950,The Space Between,02/10/2016,90,Kom is from a tribe of monkeys who live in a canopy. He rejects elders' authority as well as the superstition that the lower world would be inhabited by demons. But he accidentally falls from the trees…,9,82345,140968,169161
